Date,Open,Close,High,Volume
2020-06-10,78.66,78.02,78.98,9080920.0
2020-06-09,79.37,78.49,79.68,8846168.0
2020-06-08,77.43,79.1,79.38,9956838.0
2020-06-05,78.34,78.49,79.32,10413347.0
2020-06-04,77.54,77.81,78.39,9292930.0
2020-06-03,77.29,78.3,78.57,13675457.0
2020-06-02,75.89,77.13,77.15,11352984.0
2020-06-01,76.5,75.91,76.77,6269241.0
2020-05-29,75.82,77.02,77.23,13517104.0
2020-05-28,75.0,75.41,76.61,13180906.0
2020-05-27,73.47,73.99,74.08,12828987.0
2020-05-26,74.67,73.72,75.0,19146017.0
2020-05-22,72.68,72.87,73.14,6357482.0
2020-05-21,73.24,73.04,73.5,9000329.0
2020-05-20,74.45,73.36,74.65,11027685.0
2020-05-19,75.83,73.99,76.07,10591822.0
2020-05-18,77.29,76.06,77.29,12552630.0
2020-05-15,76.44,76.12,76.86,9367234.0
2020-05-14,73.74,76.38,76.45,11407585.0
2020-05-13,73.14,74.32,75.19,10935146.0
2020-05-12,74.57,73.65,75.09,9544660.0
2020-05-11,72.54,74.34,74.49,10622528.0
2020-05-08,72.99,72.9,73.43,8791672.0
2020-05-07,73.47,72.13,73.58,12602410.0
2020-05-06,74.76,73.58,75.03,12414922.0
2020-05-05,73.71,74.43,75.19,7401395.0
2020-05-04,74.44,73.33,74.45,8850255.0
2020-05-01,75.24,74.11,75.24,9518565.0
2020-04-30,76.16,75.7,76.71,11638878.0
2020-04-29,78.42,77.07,78.42,13687194.0
2020-04-28,77.46,77.46,78.46,20273560.0
2020-04-27,77.5,80.13,80.79,12786753.0
2020-04-24,77.86,77.7,78.33,7686451.0
2020-04-23,76.51,77.17,78.12,8152497.0
2020-04-22,75.57,76.31,76.95,11933890.0
2020-04-21,77.88,74.96,78.53,17876574.0
2020-04-20,79.02,79.29,80.27,11675768.0
2020-04-17,80.1,79.63,80.3,15433162.0
2020-04-16,78.86,79.19,79.51,9145058.0
2020-04-15,77.5,78.31,79.16,10809072.0
2020-04-14,78.55,79.04,79.38,12155333.0
2020-04-13,78.07,76.85,78.69,7706678.0
2020-04-09,77.45,78.71,79.47,13876568.0
2020-04-08,75.55,77.88,79.19,11481888.0
2020-04-07,77.93,74.96,78.21,10657950.0
2020-04-06,74.74,76.63,77.14,14314108.0
2020-04-03,72.78,72.75,73.89,10039211.0
2020-04-02,72.5,73.34,73.58,12843345.0
2020-04-01,71.24,70.41,72.01,11665288.0
2020-03-31,72.75,73.41,74.04,15079672.0
2020-03-30,70.24,73.42,74.03,15803316.0
2020-03-27,68.51,68.44,70.06,12467218.0
2020-03-26,65.01,70.16,70.78,18052848.0
2020-03-25,65.27,65.09,67.15,18311494.0
2020-03-24,65.83,65.88,66.55,19901939.0
2020-03-23,67.05,63.35,68.33,18375003.0
2020-03-20,66.36,68.09,69.17,23075912.0
