Date,Open,Close,High,Volume
2020-06-10,50.02,48.68,50.5,14770900.0
2020-06-09,48.72,50.4,50.68,15090400.0
2020-06-08,50.52,50.15,50.68,12150300.0
2020-06-05,51.29,49.52,51.84,17976100.0
2020-06-04,46.7,48.68,48.75,15279600.0
2020-06-03,46.97,46.9,47.49,11253500.0
2020-06-02,45.18,45.58,46.25,11179200.0
2020-06-01,44.52,44.7,45.06,8649500.0
2020-05-29,44.0,44.2,44.79,13102100.0
2020-05-28,47.25,44.4,47.31,17615900.0
2020-05-27,45.77,46.86,46.91,25892400.0
2020-05-26,41.86,43.68,43.79,19709900.0
2020-05-22,40.22,40.13,40.54,6468900.0
2020-05-21,40.77,40.29,40.93,9654200.0
2020-05-20,40.06,41.06,41.25,12031600.0
2020-05-19,40.09,39.33,40.54,8895500.0
2020-05-18,38.91,40.27,40.65,14722400.0
2020-05-15,37.25,37.29,37.81,9175800.0
2020-05-14,36.25,37.81,37.97,14986600.0
2020-05-13,38.15,36.99,38.27,11565900.0
2020-05-12,39.97,38.41,40.06,13605600.0
2020-05-11,39.38,39.83,40.06,10106400.0
2020-05-08,39.5,40.08,40.16,12096400.0
2020-05-07,37.75,38.81,39.13,9348900.0
2020-05-06,38.47,37.29,38.63,7817800.0
2020-05-05,38.97,37.97,39.31,8951200.0
2020-05-04,38.0,38.09,38.22,13985100.0
2020-05-01,38.34,38.4,38.72,12806200.0
2020-04-30,39.9,39.43,40.11,13431700.0
2020-04-29,41.09,40.79,41.36,15880400.0
2020-04-28,40.56,40.13,41.38,12778400.0
2020-04-27,38.63,39.31,39.54,11619400.0
2020-04-24,37.97,37.97,38.18,8567500.0
2020-04-23,38.09,37.47,38.38,8694800.0
2020-04-22,37.86,37.81,38.18,10449000.0
2020-04-21,37.29,36.95,38.13,14134900.0
2020-04-20,38.18,38.36,39.54,16573800.0
2020-04-17,39.54,39.09,40.09,25074500.0
2020-04-16,37.86,38.36,38.81,27913000.0
2020-04-15,38.2,38.4,39.4,15590100.0
2020-04-14,40.5,39.86,40.77,14471900.0
2020-04-13,40.88,39.58,41.0,13369900.0
2020-04-09,40.25,41.08,41.84,21902200.0
2020-04-08,37.7,39.36,39.77,15376700.0
2020-04-07,39.65,36.93,39.65,19536700.0
2020-04-06,35.93,37.0,37.5,18788700.0
2020-04-03,33.56,33.84,34.29,16926500.0
2020-04-02,31.34,33.9,34.0,21656000.0
2020-04-01,31.68,31.62,32.4,23755100.0
2020-03-31,34.52,34.0,35.29,17122600.0
2020-03-30,33.52,34.84,35.34,18046400.0
2020-03-27,33.63,34.0,34.72,33375400.0
2020-03-26,33.79,35.7,36.84,26422500.0
2020-03-25,33.9,33.99,35.47,27198500.0
2020-03-24,30.09,33.22,33.38,25905500.0
2020-03-23,29.14,27.8,29.79,26401000.0
2020-03-20,31.25,29.67,31.45,27472500.0
2020-03-19,30.35,30.92,32.9,23929600.0
2020-03-18,31.34,30.75,32.84,27603000.0
2020-03-17,32.36,33.79,35.11,27047400.0
2020-03-16,31.06,31.64,35.27,26789900.0
2020-03-13,34.27,37.5,37.52,33305100.0
2020-03-12,33.9,31.3,34.9,27964600.0
2020-03-11,38.22,36.86,38.86,27376200.0
2020-03-10,39.81,39.5,39.99,27111000.0
2020-03-09,36.84,37.5,39.02,28177500.0
2020-03-06,40.5,41.84,42.24,30898400.0
2020-03-05,43.5,42.59,43.93,23950200.0
2020-03-04,45.15,45.24,45.31,21938100.0
2020-03-03,46.36,44.4,46.91,30206600.0
2020-03-02,45.11,46.47,46.47,23234100.0
2020-02-28,43.86,45.02,45.54,36978800.0
2020-02-27,45.74,45.4,47.2,26815200.0
2020-02-26,48.22,47.24,48.54,22286100.0
2020-02-25,49.97,48.02,50.15,25568400.0
2020-02-24,50.31,49.68,50.49,28670400.0
2020-02-21,53.5,52.41,53.59,29536400.0
2020-02-20,54.0,53.75,55.5,58533500.0
2020-02-19,55.86,56.31,56.43,6075300.0
2020-02-18,55.79,55.52,55.95,6897800.0
2020-02-14,55.9,55.84,56.11,4579300.0
2020-02-13,55.79,55.93,55.99,5718400.0
2020-02-12,56.22,56.18,56.65,7130000.0
2020-02-11,55.74,55.77,56.25,7120800.0
2020-02-10,54.68,55.34,55.36,5115100.0
2020-02-07,54.61,55.02,55.11,7588000.0
2020-02-06,55.43,55.0,55.49,6976900.0
2020-02-05,54.86,54.99,55.15,8237500.0
2020-02-04,53.75,54.02,54.59,9375100.0
2020-02-03,52.63,52.59,53.59,8375100.0
2020-01-31,53.2,52.25,53.27,11286900.0
2020-01-30,52.61,53.81,53.86,8685900.0
2020-01-29,54.47,53.68,54.54,9027800.0
2020-01-28,53.79,54.02,54.43,9232900.0
2020-01-27,53.0,53.11,53.68,10649100.0
2020-01-24,55.52,54.54,55.61,9752000.0
2020-01-23,55.22,55.52,55.65,10064500.0
2020-01-22,56.18,55.86,56.5,10276800.0
2020-01-21,55.88,55.91,56.47,20833900.0
2020-01-17,56.25,57.5,57.56,15403900.0
2020-01-16,56.04,56.43,57.36,34590700.0
2020-01-15,52.47,52.93,52.93,11342500.0
2020-01-14,53.06,52.86,53.25,9602000.0
2020-01-13,52.2,52.77,52.77,8334200.0
2020-01-10,52.15,52.2,52.47,7686800.0
2020-01-09,52.16,52.06,52.25,7308000.0
2020-01-08,50.95,51.56,51.79,6185200.0
2020-01-07,51.04,50.91,51.18,4538100.0
2020-01-06,50.66,51.02,51.04,7476700.0
2020-01-03,51.22,51.2,51.45,6706000.0
2020-01-02,51.2,52.04,52.06,7808000.0
2019-12-31,50.95,51.11,51.13,5131600.0
2019-12-30,51.36,50.95,51.38,4532800.0
2019-12-27,51.33,51.09,51.33,4116900.0
2019-12-26,50.97,51.11,51.29,5517400.0
2019-12-24,50.83,50.68,50.93,2087800.0
2019-12-23,50.9,50.72,51.09,6547600.0
2019-12-20,51.43,50.68,51.43,18742900.0
2019-12-19,50.65,50.86,51.0,9222000.0
2019-12-18,51.0,50.65,51.11,9513000.0
2019-12-17,50.81,50.9,51.22,10446000.0
2019-12-16,50.77,50.72,51.11,11007500.0
2019-12-13,50.74,50.24,51.15,10191200.0
