Date,Open,Close,High,Volume
2020-06-09,52.65,53.15,53.5,17840800.0
2020-06-08,54.5,53.7,54.63,22850600.0
2020-06-05,52.65,53.72,54.81,34110700.0
2020-06-04,48.86,51.22,51.97,34830800.0
2020-06-03,48.04,48.91,49.41,34662100.0
2020-06-02,46.49,46.81,46.84,23035600.0
2020-06-01,47.49,46.34,47.66,21809100.0
2020-05-29,46.61,47.9,48.02,26337000.0
2020-05-28,48.7,46.47,48.79,38289300.0
2020-05-27,45.95,49.45,49.58,56071500.0
2020-05-26,46.22,45.79,46.68,24303900.0
2020-05-22,45.15,44.93,45.31,13385400.0
2020-05-21,46.5,45.22,46.56,17445300.0
2020-05-20,46.5,46.63,47.04,17876500.0
2020-05-19,45.77,45.11,46.22,17389500.0
2020-05-18,45.83,45.91,46.15,20307800.0
2020-05-15,43.27,44.4,44.77,28803900.0
2020-05-14,43.06,45.72,45.77,27543500.0
2020-05-13,45.86,43.52,45.88,35117500.0
2020-05-12,48.52,45.68,48.56,26738900.0
2020-05-11,47.74,48.2,48.72,17353500.0
2020-05-08,47.29,48.25,48.45,17437100.0
2020-05-07,47.11,46.59,47.5,16372100.0
2020-05-06,46.06,46.08,47.11,22011900.0
2020-05-05,45.45,45.4,46.95,21007500.0
2020-05-04,44.18,44.45,44.68,21377100.0
2020-05-01,46.36,45.06,46.91,28194000.0
2020-04-30,49.47,47.88,49.58,28585400.0
2020-04-29,46.58,49.83,50.13,35743000.0
2020-04-28,46.2,45.31,47.68,25234900.0
2020-04-27,45.0,45.27,45.38,16667200.0
2020-04-24,43.79,44.15,44.31,16581800.0
2020-04-23,43.81,43.77,44.72,22273100.0
2020-04-22,43.11,43.9,44.2,21346600.0
2020-04-21,43.0,41.4,43.06,32482200.0
2020-04-20,44.52,43.4,45.08,30463300.0
2020-04-17,46.77,45.7,46.88,23388300.0
2020-04-16,47.02,45.52,47.2,26589000.0
2020-04-15,46.4,46.43,46.65,22389400.0
2020-04-14,47.0,47.61,48.38,25738000.0
2020-04-13,44.9,46.16,46.38,30449900.0
2020-04-09,49.29,46.13,49.81,39799400.0
2020-04-08,47.08,48.29,48.68,27694400.0
2020-04-07,48.09,46.54,48.36,34646400.0
2020-04-06,43.34,46.36,46.68,37899100.0
2020-04-03,40.97,41.22,41.86,28522400.0
2020-04-02,39.79,41.09,41.59,31457700.0
2020-04-01,40.54,39.88,42.29,37452800.0
2020-03-31,44.4,42.06,45.16,36723700.0
2020-03-30,44.16,44.52,45.56,33763900.0
2020-03-27,43.25,43.47,45.27,39791500.0
2020-03-26,44.9,44.79,45.75,62450700.0
2020-03-25,43.9,42.5,44.88,54091000.0
2020-03-24,41.81,43.27,44.41,45588000.0
2020-03-23,36.99,38.25,39.47,45286000.0
2020-03-20,37.77,36.11,38.59,37667400.0
2020-03-19,34.65,36.29,37.29,31015200.0
2020-03-18,34.25,34.68,36.56,36519000.0
2020-03-17,35.49,37.38,39.13,34869000.0
2020-03-16,37.34,34.47,39.13,36879100.0
2020-03-13,41.56,42.99,43.02,35264800.0
2020-03-12,39.4,38.81,42.54,40117200.0
2020-03-11,46.2,43.72,46.31,38483800.0
2020-03-10,48.15,47.86,48.25,31652900.0
2020-03-09,45.47,45.97,48.59,31260800.0
2020-03-06,52.2,51.47,53.18,30313700.0
2020-03-05,53.45,53.72,55.61,26223000.0
2020-03-04,53.02,55.29,55.38,28222000.0
2020-03-03,54.59,51.79,55.4,36893200.0
2020-03-02,53.2,54.59,54.68,33272700.0
2020-02-28,48.65,52.56,52.91,40121300.0
2020-02-27,50.63,50.58,52.84,36349200.0
2020-02-26,52.65,52.36,54.27,28075600.0
2020-02-25,54.84,52.09,55.45,41894200.0
2020-02-24,53.31,55.0,55.45,33321100.0
2020-02-21,58.63,56.99,58.72,27038900.0
2020-02-20,59.88,59.0,59.99,20797100.0
2020-02-19,58.58,59.99,60.25,23335500.0
2020-02-18,57.06,57.75,58.04,21513200.0
2020-02-14,60.15,58.5,60.56,20920200.0
2020-02-13,59.0,59.33,60.63,23679700.0
2020-02-12,59.04,59.27,61.18,47180800.0
2020-02-11,57.88,57.25,58.84,26776900.0
2020-02-10,56.29,57.33,57.34,15929000.0
2020-02-07,57.97,56.88,58.0,20891100.0
2020-02-06,58.08,58.68,59.16,23358700.0
2020-02-05,57.02,56.77,57.25,19795300.0
2020-02-04,55.29,55.5,56.02,19998600.0
2020-02-03,53.25,53.77,54.11,20471900.0
2020-01-31,55.15,53.09,55.2,28550800.0
2020-01-30,54.18,55.02,55.06,30783800.0
2020-01-29,55.99,55.29,57.18,19278300.0
2020-01-28,56.25,56.47,56.77,18544900.0
2020-01-27,55.15,55.4,55.99,27310100.0
2020-01-24,60.0,57.75,60.02,28555300.0
2020-01-23,60.33,59.2,60.56,26146100.0
2020-01-22,59.52,59.16,60.25,22604400.0
2020-01-21,57.36,58.97,59.18,24821700.0
2020-01-17,58.02,57.65,58.11,20549200.0
2020-01-16,56.79,57.68,57.84,22732700.0
2020-01-15,57.02,56.16,57.11,21638600.0
2020-01-14,57.79,57.52,58.29,26454300.0
2020-01-13,57.0,57.45,57.77,16163000.0
2020-01-10,57.47,56.66,57.5,19122800.0
2020-01-09,58.31,57.31,58.47,22376100.0
2020-01-08,58.09,57.52,58.38,29730800.0
2020-01-07,55.38,58.27,58.4,49908200.0
2020-01-06,53.75,53.56,54.13,18768700.0
2020-01-03,54.15,54.52,55.31,16815800.0
2020-01-02,54.84,55.38,55.49,20173200.0
2019-12-31,52.9,53.77,53.9,13296400.0
2019-12-30,53.77,53.2,53.88,15271500.0
2019-12-27,55.24,54.02,55.52,17176700.0
