Date,Open,Close,High,Volume
2020-06-09,8.8,9.04,9.1,468488000.0
2020-06-08,8.87,8.8,8.88,387736000.0
2020-06-05,8.79,8.92,8.99,481748000.0
2020-06-04,8.72,8.76,8.94,424280000.0
2020-06-03,8.82,8.76,8.86,365440000.0
2020-06-02,8.79,8.82,8.83,391320000.0
2020-06-01,8.83,8.8,8.84,389876000.0
2020-05-29,8.55,8.87,8.87,745256000.0
2020-05-28,8.41,8.48,8.76,734896000.0
2020-05-27,8.62,8.52,8.63,1175892000.0
2020-05-26,9.15,8.71,9.18,770780000.0
2020-05-22,8.82,9.02,9.09,1038764000.0
2020-05-21,9.05,8.77,9.05,761068000.0
2020-05-20,8.99,8.97,9.04,587536000.0
2020-05-19,8.79,8.8,9.08,717320000.0
2020-05-18,8.76,8.75,8.91,774460000.0
2020-05-15,7.88,8.49,8.5,987660000.0
2020-05-14,7.84,8.03,8.03,602312000.0
2020-05-13,7.91,7.78,8.07,625852000.0
2020-05-12,8.12,7.8,8.17,493060000.0
2020-05-11,7.8,8.06,8.11,469060000.0
2020-05-08,7.69,7.81,7.81,339216000.0
2020-05-07,7.58,7.62,7.68,373732000.0
2020-05-06,7.42,7.44,7.55,323464000.0
2020-05-05,7.38,7.34,7.5,368896000.0
2020-05-04,7.02,7.28,7.29,317556000.0
2020-05-01,7.1,7.06,7.22,342096000.0
2020-04-30,7.4,7.3,7.46,375916000.0
2020-04-29,7.41,7.46,7.51,379160000.0
2020-04-28,7.57,7.28,7.6,442904000.0
2020-04-27,7.37,7.42,7.58,479388000.0
2020-04-24,7.09,7.23,7.24,352328000.0
2020-04-23,7.19,7.1,7.32,424160000.0
2020-04-22,6.93,7.15,7.19,483356000.0
2020-04-21,7.05,6.73,7.11,735160000.0
2020-04-20,7.18,7.17,7.33,449388000.0
2020-04-17,7.44,7.3,7.47,539120000.0
2020-04-16,7.17,7.36,7.47,745620000.0
2020-04-15,6.92,7.02,7.1,366148000.0
2020-04-14,6.87,7.09,7.13,530948000.0
2020-04-13,6.51,6.74,6.75,398408000.0
2020-04-09,6.8,6.57,6.82,525564000.0
2020-04-08,6.58,6.67,6.69,542444000.0
2020-04-07,6.93,6.47,6.95,784520000.0
2020-04-06,6.38,6.71,6.74,727884000.0
2020-04-03,6.34,6.09,6.39,663212000.0
2020-04-02,6.1,6.38,6.4,675764000.0
2020-04-01,6.39,6.07,6.53,656912000.0
2020-03-31,6.67,6.59,6.88,949960000.0
2020-03-30,6.38,6.63,6.64,602252000.0
2020-03-27,6.25,6.31,6.57,638828000.0
2020-03-26,6.34,6.43,6.55,696108000.0
2020-03-25,6.34,6.14,6.54,793432000.0
2020-03-24,5.72,6.22,6.31,1101644000.0
2020-03-23,5.14,5.31,5.41,643876000.0
2020-03-20,5.47,5.14,5.75,804636000.0
2020-03-19,5.04,5.32,5.41,765512000.0
2020-03-18,5.0,5.07,5.24,874268000.0
2020-03-17,5.02,5.43,5.52,833632000.0
2020-03-16,5.31,4.9,5.65,726972000.0
2020-03-13,5.76,6.02,6.02,634836000.0
2020-03-12,5.63,5.4,5.9,816540000.0
2020-03-11,6.38,6.16,6.41,499964000.0
2020-03-10,6.41,6.52,6.52,580648000.0
2020-03-09,5.99,6.13,6.48,614160000.0
2020-03-06,6.65,6.65,6.7,515412000.0
2020-03-05,6.91,6.83,7.07,540328000.0
2020-03-04,6.75,7.11,7.12,597408000.0
2020-03-03,6.96,6.64,7.02,652792000.0
2020-03-02,6.92,6.91,6.93,890744000.0
2020-02-28,6.06,6.75,6.81,1133252000.0
2020-02-27,6.37,6.31,6.67,906416000.0
2020-02-26,6.55,6.69,6.88,747732000.0
2020-02-25,6.9,6.55,6.96,1055496000.0
2020-02-24,6.75,6.83,7.04,856916000.0
2020-02-21,7.6,7.35,7.63,768180000.0
2020-02-20,7.81,7.71,7.9,810052000.0
2020-02-19,7.53,7.86,7.88,694332000.0
2020-02-18,7.14,7.41,7.43,620164000.0
2020-02-14,7.18,7.24,7.37,1041924000.0
2020-02-13,6.75,6.76,6.83,528016000.0
2020-02-12,6.75,6.81,6.82,374644000.0
2020-02-11,6.68,6.69,6.81,638556000.0
2020-02-10,6.31,6.57,6.57,529608000.0
2020-02-07,6.31,6.28,6.33,189752000.0
2020-02-06,6.3,6.35,6.35,218284000.0
2020-02-05,6.29,6.26,6.3,208220000.0
2020-02-04,6.15,6.17,6.19,271544000.0
2020-02-03,5.89,6.0,6.02,255564000.0
2020-01-31,6.09,5.91,6.11,370420000.0
2020-01-30,6.04,6.14,6.15,290504000.0
2020-01-29,6.18,6.13,6.22,258848000.0
2020-01-28,6.07,6.19,6.23,310976000.0
2020-01-27,5.95,6.0,6.05,470536000.0
2020-01-24,6.43,6.26,6.48,373512000.0
2020-01-23,6.29,6.32,6.32,244516000.0
2020-01-22,6.24,6.25,6.33,239240000.0
2020-01-21,6.19,6.19,6.23,217916000.0
2020-01-17,6.24,6.23,6.25,253792000.0
2020-01-16,6.19,6.22,6.22,284192000.0
2020-01-15,6.19,6.13,6.21,263104000.0
2020-01-14,6.25,6.18,6.28,359088000.0
2020-01-13,6.19,6.29,6.32,319840000.0
2020-01-10,6.18,6.1,6.21,316296000.0
2020-01-09,6.09,6.07,6.14,255112000.0
2020-01-08,5.99,6.0,6.05,277108000.0
2020-01-07,5.95,5.99,6.04,314856000.0
2020-01-06,5.8,5.92,5.93,262636000.0
2020-01-03,5.87,5.9,5.94,205384000.0
2020-01-02,5.96,5.99,5.99,237536000.0
2019-12-31,5.77,5.88,5.89,231004000.0
2019-12-30,5.89,5.8,5.9,258056000.0
2019-12-27,5.99,5.92,6.0,254644000.0
2019-12-26,5.96,5.97,6.0,182852000.0
2019-12-24,5.95,5.96,5.98,138864000.0
2019-12-23,6.01,5.97,6.04,355060000.0
2019-12-20,5.95,5.98,6.0,603044000.0
2019-12-19,5.77,5.88,5.9,445360000.0
2019-12-18,5.74,5.73,5.79,343548000.0
2019-12-17,5.64,5.7,5.73,321196000.0
2019-12-16,5.64,5.62,5.7,320976000.0
2019-12-13,5.6,5.59,5.72,454704000.0
2019-12-12,5.4,5.6,5.61,404348000.0
2019-12-11,5.36,5.43,5.43,233796000.0
2019-12-10,5.33,5.34,5.4,256388000.0
2019-12-09,5.28,5.3,5.35,211880000.0
2019-12-06,5.28,5.3,5.33,232236000.0
2019-12-05,5.25,5.21,5.27,184884000.0
2019-12-04,5.27,5.23,5.29,273424000.0
2019-12-03,5.04,5.19,5.19,465232000.0
2019-12-02,5.41,5.23,5.42,372036000.0
2019-11-29,5.42,5.41,5.45,141556000.0
2019-11-27,5.46,5.45,5.5,215784000.0
2019-11-26,5.51,5.42,5.51,385244000.0
2019-11-25,5.4,5.53,5.53,506476000.0
2019-11-22,5.27,5.27,5.32,224100000.0
2019-11-21,5.27,5.25,5.33,288388000.0
2019-11-20,5.17,5.27,5.36,472588000.0
2019-11-19,5.27,5.19,5.29,414564000.0
2019-11-18,5.09,5.3,5.33,574588000.0
2019-11-15,5.24,5.1,5.29,1053628000.0
2019-11-14,5.22,5.24,5.24,518080000.0
2019-11-13,5.2,5.21,5.23,300188000.0
2019-11-12,5.24,5.24,5.29,283504000.0
2019-11-11,5.19,5.2,5.22,243436000.0
2019-11-08,5.19,5.19,5.22,189100000.0
2019-11-07,5.27,5.2,5.29,280340000.0
2019-11-06,5.21,5.19,5.24,269012000.0
2019-11-05,5.26,5.24,5.28,300868000.0
2019-11-04,5.14,5.26,5.27,376716000.0
2019-11-01,4.98,5.06,5.09,283640000.0
2019-10-31,5.05,5.02,5.07,209732000.0
2019-10-30,5.09,5.07,5.1,205960000.0
2019-10-29,5.15,5.07,5.16,211236000.0
2019-10-28,5.15,5.16,5.22,330792000.0
2019-10-25,5.0,5.11,5.13,423092000.0
2019-10-24,4.91,4.92,4.95,232020000.0
2019-10-23,4.8,4.87,4.89,279916000.0
2019-10-22,4.95,4.89,5.06,328720000.0
2019-10-21,4.82,4.9,4.91,261868000.0
2019-10-18,4.85,4.76,4.89,307440000.0
2019-10-17,4.9,4.85,4.94,263436000.0
2019-10-16,4.87,4.85,4.98,428944000.0
2019-10-15,4.75,4.9,4.98,664124000.0
2019-10-14,4.64,4.66,4.68,200040000.0
2019-10-11,4.66,4.64,4.73,446404000.0
2019-10-10,4.51,4.57,4.62,309124000.0
2019-10-09,4.5,4.51,4.56,292412000.0
2019-10-08,4.51,4.43,4.51,444436000.0
2019-10-07,4.61,4.6,4.7,480984000.0
2019-10-04,4.53,4.54,4.57,265524000.0
2019-10-03,4.33,4.53,4.53,450588000.0
2019-10-02,4.32,4.32,4.34,293372000.0
2019-10-01,4.37,4.34,4.52,366008000.0
2019-09-30,4.32,4.35,4.36,186184000.0
2019-09-27,4.39,4.29,4.44,362056000.0
2019-09-26,4.44,4.43,4.45,234564000.0
2019-09-25,4.31,4.45,4.47,308432000.0
2019-09-24,4.4,4.31,4.43,317268000.0
2019-09-23,4.31,4.37,4.41,249712000.0
2019-09-20,4.42,4.31,4.44,350244000.0
2019-09-19,4.5,4.42,4.52,245476000.0
2019-09-18,4.51,4.49,4.53,258152000.0
2019-09-17,4.51,4.52,4.53,223048000.0
2019-09-16,4.47,4.5,4.53,231832000.0
2019-09-13,4.53,4.54,4.57,324592000.0
2019-09-12,4.65,4.6,4.71,327840000.0
2019-09-11,4.59,4.6,4.65,361512000.0
2019-09-10,4.47,4.57,4.6,352812000.0
2019-09-09,4.49,4.51,4.59,417524000.0
2019-09-06,4.46,4.46,4.52,376976000.0
2019-09-05,4.32,4.49,4.49,695676000.0
2019-09-04,4.16,4.21,4.22,227728000.0
2019-09-03,4.11,4.1,4.14,296140000.0
2019-08-30,4.22,4.18,4.27,290616000.0
2019-08-29,4.12,4.17,4.2,357976000.0
2019-08-28,4.01,4.03,4.08,255612000.0
2019-08-27,4.17,4.04,4.17,290968000.0
2019-08-26,4.14,4.13,4.16,318208000.0
2019-08-23,4.21,4.06,4.26,568056000.0
2019-08-22,4.29,4.28,4.33,303488000.0
2019-08-21,4.26,4.28,4.33,427244000.0
2019-08-20,4.26,4.19,4.26,463188000.0
2019-08-19,4.1,4.26,4.28,815112000.0
2019-08-16,3.98,3.98,4.03,1007960000.0
2019-08-15,3.77,3.71,3.79,477200000.0
2019-08-14,3.81,3.75,3.82,419880000.0
2019-08-13,3.78,3.9,3.94,351956000.0
2019-08-12,3.8,3.78,3.85,279200000.0
2019-08-09,3.91,3.85,3.91,341816000.0
2019-08-08,3.9,3.95,3.95,309300000.0
2019-08-07,3.74,3.84,3.85,372560000.0
2019-08-06,3.84,3.8,3.89,361272000.0
2019-08-05,3.84,3.76,3.84,589156000.0
2019-08-02,4.02,4.02,4.09,428348000.0
2019-08-01,4.22,4.12,4.31,421212000.0
2019-07-31,4.35,4.21,4.35,359416000.0
2019-07-30,4.32,4.38,4.39,197772000.0
2019-07-29,4.36,4.37,4.38,248160000.0
2019-07-26,4.36,4.37,4.42,274160000.0
2019-07-25,4.42,4.33,4.43,392700000.0
2019-07-24,4.43,4.46,4.47,366236000.0
2019-07-23,4.32,4.39,4.39,428176000.0
2019-07-22,4.23,4.28,4.29,315940000.0
2019-07-19,4.29,4.21,4.29,344896000.0
2019-07-18,4.25,4.25,4.31,442192000.0
2019-07-17,4.17,4.24,4.24,348204000.0
2019-07-16,4.16,4.17,4.2,341444000.0
2019-07-15,4.21,4.18,4.22,289840000.0
2019-07-12,4.18,4.19,4.26,506392000.0
2019-07-11,4.07,4.15,4.19,682560000.0
2019-07-10,3.97,4.0,4.05,452076000.0
2019-07-09,3.88,3.93,3.96,342860000.0
2019-07-08,3.94,3.93,3.96,329788000.0
2019-07-05,4.01,4.0,4.01,396552000.0
2019-07-03,4.07,4.06,4.08,246636000.0
2019-07-02,4.13,4.05,4.15,400228000.0
2019-07-01,4.31,4.15,4.34,709756000.0
2019-06-28,4.12,4.1,4.13,397668000.0
2019-06-27,4.06,4.08,4.09,445440000.0
2019-06-26,3.91,3.98,4.04,584072000.0
2019-06-25,3.82,3.78,3.89,311868000.0
2019-06-24,3.81,3.81,3.84,282948000.0
2019-06-21,3.83,3.79,3.88,434428000.0
2019-06-20,3.91,3.85,3.93,350168000.0
2019-06-19,3.85,3.82,3.86,331644000.0
2019-06-18,3.68,3.82,3.87,581920000.0
2019-06-17,3.61,3.62,3.66,276040000.0
2019-06-14,3.61,3.61,3.63,394428000.0
2019-06-13,3.67,3.7,3.72,308080000.0
2019-06-12,3.72,3.65,3.73,358892000.0
2019-06-11,3.77,3.76,3.8,383872000.0
2019-06-10,3.69,3.71,3.77,402780000.0
2019-06-07,3.6,3.63,3.67,348856000.0
2019-06-06,3.53,3.59,3.61,408140000.0
2019-06-05,3.64,3.53,3.65,511616000.0
2019-06-04,3.4,3.57,3.58,641836000.0
2019-06-03,3.39,3.34,3.43,478644000.0
2019-05-31,3.42,3.38,3.49,389720000.0
2019-05-30,3.5,3.47,3.54,394300000.0
2019-05-29,3.53,3.5,3.57,559800000.0
2019-05-28,3.64,3.58,3.67,428356000.0
2019-05-24,3.7,3.62,3.73,357584000.0
2019-05-23,3.74,3.68,3.74,591844000.0
2019-05-22,3.83,3.8,3.86,325868000.0
2019-05-21,3.85,3.87,3.89,361848000.0
2019-05-20,3.81,3.79,3.86,572064000.0
2019-05-17,3.96,3.91,4.09,1022068000.0
2019-05-16,3.98,4.0,4.04,781088000.0
2019-05-15,3.99,3.98,4.02,502320000.0
2019-05-14,4.0,4.05,4.08,524880000.0
2019-05-13,4.08,3.96,4.11,656912000.0
2019-05-10,4.22,4.22,4.28,569500000.0
2019-05-09,4.27,4.25,4.28,660248000.0
2019-05-08,4.3,4.34,4.42,419168000.0
2019-05-07,4.44,4.32,4.44,555220000.0
2019-05-06,4.38,4.49,4.5,422176000.0
2019-05-03,4.58,4.57,4.59,336824000.0
2019-05-02,4.52,4.57,4.62,394684000.0
2019-05-01,4.57,4.51,4.62,354280000.0
2019-04-30,4.45,4.52,4.55,362920000.0
2019-04-29,4.46,4.48,4.51,391920000.0
2019-04-26,4.51,4.45,4.52,868988000.0
2019-04-25,4.73,4.67,4.76,499296000.0
2019-04-24,4.77,4.77,4.82,318204000.0
2019-04-23,4.72,4.76,4.79,346856000.0
2019-04-22,4.63,4.71,4.72,279936000.0
2019-04-18,4.68,4.65,4.72,380988000.0
2019-04-17,4.74,4.68,4.76,351004000.0
2019-04-16,4.65,4.7,4.72,394964000.0
2019-04-15,4.74,4.61,4.74,440092000.0
2019-04-12,4.82,4.75,4.83,471708000.0
2019-04-11,4.8,4.78,4.83,374600000.0
2019-04-10,4.73,4.8,4.82,444772000.0
2019-04-09,4.76,4.73,4.77,439972000.0
2019-04-08,4.74,4.79,4.82,424192000.0
2019-04-05,4.75,4.77,4.79,481744000.0
2019-04-04,4.69,4.7,4.74,457376000.0
2019-04-03,4.62,4.71,4.77,783504000.0
2019-04-02,4.58,4.57,4.61,440920000.0
2019-04-01,4.58,4.55,4.58,483824000.0
2019-03-29,4.49,4.48,4.51,456896000.0
2019-03-28,4.43,4.43,4.49,480264000.0
2019-03-27,4.44,4.41,4.49,474372000.0
2019-03-26,4.48,4.42,4.54,703508000.0
2019-03-25,4.39,4.34,4.46,525212000.0
2019-03-22,4.57,4.43,4.61,747644000.0
2019-03-21,4.38,4.59,4.62,824312000.0
2019-03-20,4.42,4.36,4.47,719148000.0
2019-03-19,4.31,4.39,4.43,854972000.0
2019-03-18,4.27,4.22,4.33,486992000.0
2019-03-15,4.18,4.24,4.28,661484000.0
2019-03-14,4.22,4.13,4.23,519384000.0
2019-03-13,4.1,4.21,4.24,768900000.0
2019-03-12,4.05,4.06,4.1,579576000.0
2019-03-11,3.78,4.02,4.05,859728000.0
2019-03-08,3.64,3.76,3.77,422416000.0
2019-03-07,3.77,3.73,3.78,450104000.0
2019-03-06,3.9,3.8,3.91,403524000.0
2019-03-05,3.9,3.91,3.95,362924000.0
2019-03-04,3.95,3.91,3.97,409992000.0
2019-03-01,3.9,3.91,3.95,357188000.0
2019-02-28,3.87,3.85,3.89,324944000.0
2019-02-27,3.91,3.88,3.93,500256000.0
2019-02-26,3.96,3.92,4.01,488464000.0
2019-02-25,4.06,3.96,4.13,656020000.0
2019-02-22,3.94,3.97,3.99,401740000.0
2019-02-21,3.97,3.89,4.0,448548000.0
2019-02-20,3.94,3.96,4.03,540988000.0
2019-02-19,3.92,3.91,3.99,551892000.0
2019-02-15,4.07,3.93,4.09,1516748000.0
2019-02-14,3.82,3.86,3.89,827264000.0
2019-02-13,3.8,3.82,3.89,605372000.0
2019-02-12,3.7,3.77,3.79,591060000.0
2019-02-11,3.65,3.66,3.71,495180000.0
2019-02-08,3.61,3.7,3.71,461604000.0
2019-02-07,3.77,3.68,3.78,637120000.0
2019-02-06,3.78,3.82,3.89,702464000.0
2019-02-05,3.74,3.74,3.78,542424000.0
2019-02-04,3.63,3.72,3.76,528592000.0
2019-02-01,3.61,3.61,3.66,625048000.0
2019-01-31,3.43,3.59,3.62,842852000.0
2019-01-30,3.36,3.43,3.44,974228000.0
2019-01-29,3.4,3.28,3.45,1153932000.0
2019-01-28,3.41,3.45,3.54,2511528000.0
2019-01-25,3.88,4.0,4.02,1154572000.0
2019-01-24,3.81,3.94,3.96,708972000.0
2019-01-23,3.77,3.73,3.86,591020000.0
2019-01-22,3.89,3.71,3.9,661552000.0
2019-01-18,3.84,3.92,3.94,651336000.0
2019-01-17,3.68,3.79,3.83,493436000.0
2019-01-16,3.77,3.72,3.8,470104000.0
2019-01-15,3.79,3.74,3.83,617012000.0
2019-01-14,3.66,3.76,3.78,730168000.0
2019-01-11,3.6,3.72,3.74,874764000.0
2019-01-10,3.54,3.63,3.63,523156000.0
2019-01-09,3.54,3.56,3.61,617260000.0
2019-01-08,3.66,3.49,3.66,786016000.0
2019-01-07,3.46,3.58,3.62,709160000.0
2019-01-04,3.27,3.4,3.44,585620000.0
2019-01-03,3.34,3.19,3.37,705552000.0
2019-01-02,3.26,3.4,3.46,508752000.0
2018-12-31,3.38,3.33,3.41,465140000.0
2018-12-28,3.29,3.34,3.43,628728000.0
2018-12-27,3.27,3.27,3.3,637044000.0
