,Date,Open,Close,High,Volume,aggregate_sentiment_score,daily_return,conditional_volatility,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3,volatility_shocks
22,2023-07-11,4415.54,4439.25,4443.64,3624220000.0,-0.09999999999999999,0.005369671659638467,0.4740806765871837,0.5078120935847246,0.5182926538917562,0.5453165122379721,0.011196824301456743
27,2023-07-07,4404.54,4398.95,4440.39,3630480000.0,-1.33,-0.0012691450185490756,0.49230516670789864,0.4740806765871837,0.5078120935847246,0.5182926538917562,-0.2106321107823111
43,2023-07-06,4422.62,4411.58,4422.62,3682020000.0,-0.49000000000000005,-0.002496257874291701,0.46666207955184036,0.49230516670789864,0.4740806765871837,0.5078120935847246,-0.12726469117086692
51,2023-06-30,4422.43,4450.37,4458.47,3923450000.0,1.47,0.006317793611204609,0.4572124209619524,0.46666207955184036,0.49230516670789864,0.4740806765871837,0.1280047822673247
63,2023-06-29,4374.93,4396.43,4398.39,3696660000.0,1.2,0.00491436434411522,0.4988764413555065,0.4572124209619524,0.46666207955184036,0.49230516670789864,-0.05508809818579649
75,2023-06-28,4367.47,4376.85,4390.35,3739330000.0,1.24,0.002147696492477363,0.5038640111789746,0.4988764413555065,0.4572124209619524,0.46666207955184036,-0.2271307896877131
84,2023-06-27,4337.35,4378.41,4384.41,3573500000.0,0.83,0.009466609796304077,0.4755514705909847,0.5038640111789746,0.4988764413555065,0.4572124209619524,0.5756635088695118
90,2023-06-23,4354.16,4348.33,4366.54,6053620000.0,-1.12,-0.0013389494184871313,0.5925794516338324,0.4755514705909847,0.5038640111789746,0.4988764413555065,-0.3168824848413022
102,2023-06-22,4355.39,4381.89,4382.25,3511000000.0,0.050000000000000044,0.0060844149433231,0.5534848514225389,0.5925794516338324,0.4755514705909847,0.5038640111789746,0.0041491692588323525
107,2023-06-21,4380.0,4365.68,4386.22,3709330000.0,1.06,-0.0032694063926939974,0.5679934502376995,0.5534848514225389,0.5925794516338324,0.4755514705909847,-0.1796103142195408
111,2023-06-20,4396.1,4388.7,4400.14,4055790000.0,-0.01,-0.0016833102067743103,0.5512962450136009,0.5679934502376995,0.5534848514225389,0.5925794516338324,-0.25572444844156916
112,2023-06-16,4440.95,4409.58,4448.47,6848600000.0,2.9,-0.007063803915828796,0.5203440106800781,0.5512962450136009,0.5679934502376995,0.5534848514225389,0.3032020189018024
120,2023-06-15,4365.33,4425.83,4439.2,4176690000.0,-0.19999999999999998,0.013859204229691684,0.5864499326381605,0.5203440106800781,0.5512962450136009,0.5679934502376995,1.4374989560230473
139,2023-06-14,4366.29,4372.58,4391.81,4252110000.0,0.51,0.0014405822792347654,0.7955427103529611,0.5864499326381605,0.5203440106800781,0.5512962450136009,-0.6242694579873058
152,2023-06-13,4352.6,4369.0,4375.37,4275400000.0,1.1800000000000002,0.0037678628865504835,0.7277383890672647,0.7955427103529611,0.5864499326381605,0.5203440106800781,-0.42361042285885425
167,2023-06-12,4308.31,4338.93,4340.12,3945670000.0,0.68,0.0071071951646933225,0.6815374795006583,0.7277383890672647,0.7955427103529611,0.5864499326381605,-0.0295550774060937
174,2023-06-09,4304.87,4298.85,4322.62,3786510000.0,1.12,-0.0013984162123361512,0.6887323209337535,0.6815374795006583,0.7277383890672647,0.7955427103529611,-0.43784727462272627
177,2023-06-08,4268.68,4293.93,4298.0,3826740000.0,-0.66,0.005915177525605104,0.637600057844951,0.6887323209337535,0.6815374795006583,0.7277383890672647,-0.1146132813377187
182,2023-06-07,4285.47,4267.52,4299.18,4537800000.0,1.02,-0.004188572081941962,0.6326218896984324,0.637600057844951,0.6887323209337535,0.6815374795006583,-0.1792369087963926
194,2023-06-06,4271.33,4283.85,4288.33,3996560000.0,-0.73,0.002931171321344976,0.6177317262770132,0.6326218896984324,0.637600057844951,0.6887323209337535,-0.3230787596230728
199,2023-06-05,4282.99,4273.79,4299.27,3813290000.0,1.79,-0.0021480320990709336,0.5793174637400746,0.6177317262770132,0.6326218896984324,0.637600057844951,-0.2648398295536959
208,2023-06-02,4241.0,4282.37,4290.66,4454200000.0,2.15,0.009754774817260054,0.5483656351586632,0.5793174637400746,0.6177317262770132,0.6326218896984324,0.5535451256050545
219,2023-06-01,4183.02,4221.02,4232.43,4391860000.0,0.56,0.009084345759762085,0.6492288280471891,0.5483656351586632,0.5793174637400746,0.6177317262770132,0.3133169986100586
233,2023-05-31,4190.74,4179.83,4195.43,5980670000.0,-1.7,-0.002603358834000643,0.7046900536146434,0.6492288280471891,0.5483656351586632,0.5793174637400746,-0.3995203636921313
