,Date,Open,Close,High,Movement,aggregate_sentiment_score,lagged_sentiment_score
0,2023-07-14,4514.6,4505.41,4527.75,1,2.0399999999999996,-0.14
1,2023-07-13,4491.5,4510.04,4517.37,1,-0.14,-0.29000000000000004
2,2023-07-12,4467.68,4472.16,4488.33,1,-0.29000000000000004,-0.09999999999999999
3,2023-07-11,4415.54,4439.25,4443.64,1,-0.09999999999999999,-1.33
4,2023-07-07,4404.54,4398.95,4440.39,0,-1.33,-0.49000000000000005
5,2023-07-06,4422.62,4411.58,4422.62,0,-0.49000000000000005,1.47
6,2023-06-30,4422.43,4450.37,4458.47,1,1.47,1.2
7,2023-06-29,4374.93,4396.43,4398.39,0,1.2,1.24
8,2023-06-28,4367.47,4376.85,4390.35,0,1.24,0.83
9,2023-06-27,4337.35,4378.41,4384.41,0,0.83,-1.12
10,2023-06-23,4354.16,4348.33,4366.54,0,-1.12,0.050000000000000044
11,2023-06-22,4355.39,4381.89,4382.25,0,0.050000000000000044,1.06
12,2023-06-21,4380.0,4365.68,4386.22,0,1.06,-0.01
13,2023-06-20,4396.1,4388.7,4400.14,0,-0.01,2.9
14,2023-06-16,4440.95,4409.58,4448.47,1,2.9,-0.19999999999999998
15,2023-06-15,4365.33,4425.83,4439.2,0,-0.19999999999999998,0.51
16,2023-06-14,4366.29,4372.58,4391.81,0,0.51,1.1800000000000002
17,2023-06-13,4352.6,4369.0,4375.37,1,1.1800000000000002,0.68
18,2023-06-12,4308.31,4338.93,4340.12,1,0.68,1.12
19,2023-06-09,4304.87,4298.85,4322.62,1,1.12,-0.66
20,2023-06-08,4268.68,4293.93,4298.0,1,-0.66,1.02
21,2023-06-07,4285.47,4267.52,4299.18,1,1.02,-0.73
22,2023-06-06,4271.33,4283.85,4288.33,0,-0.73,1.79
23,2023-06-05,4282.99,4273.79,4299.27,1,1.79,2.15
24,2023-06-02,4241.0,4282.37,4290.66,1,2.15,0.56
25,2023-06-01,4183.02,4221.02,4232.43,1,0.56,-1.7
26,2023-05-31,4190.74,4179.83,4195.43,0,-1.7,0.5700000000000001
27,2023-05-30,4226.7,4205.52,4231.1,1,0.5700000000000001,1.38
28,2023-05-26,4156.16,4205.45,4212.87,1,1.38,0.79
29,2023-05-25,4155.7,4151.27,4165.74,1,0.79,-1.53
30,2023-05-24,4132.95,4115.24,4132.95,0,-1.53,-0.5000000000000001
31,2023-05-23,4176.79,4145.58,4185.68,0,-0.5000000000000001,-1.4000000000000001
32,2023-05-22,4190.77,4192.62,4209.22,0,-1.4000000000000001,2.0300000000000002
33,2023-05-19,4204.14,4191.97,4212.91,1,2.0300000000000002,1.03
34,2023-05-18,4157.68,4198.04,4202.2,0,1.03,-0.1099999999999999
35,2023-05-17,4122.85,4158.77,4164.66,1,-0.1099999999999999,-0.18
36,2023-05-16,4127.95,4109.89,4135.54,0,-0.18,0.18
37,2023-05-15,4126.64,4136.27,4141.25,1,0.18,0.45
38,2023-05-12,4138.54,4124.08,4143.74,1,0.45,-0.05000000000000007
39,2023-05-11,4132.24,4130.62,4132.79,0,-0.05000000000000007,0.18999999999999997
40,2023-05-10,4143.74,4137.64,4154.27,1,0.18999999999999997,0.060000000000000005
41,2023-05-09,4124.25,4119.16,4130.35,0,0.060000000000000005,-0.77
42,2023-05-08,4136.97,4138.12,4142.29,1,-0.77,-0.11000000000000004
43,2023-05-05,4084.72,4136.25,4147.02,1,-0.11000000000000004,-2.63
44,2023-05-04,4082.55,4061.21,4082.61,0,-2.63,1.32
45,2023-05-03,4122.25,4090.75,4148.29,1,1.32,-0.52
46,2023-05-02,4164.1,4119.58,4164.1,0,-0.52,1.9500000000000002
47,2023-05-01,4166.79,4167.87,4186.91,0,1.9500000000000002,1.2300000000000002
48,2023-04-28,4129.62,4169.47,4170.06,0,1.2300000000000002,1.4000000000000001
49,2023-04-27,4075.29,4135.35,4138.24,1,1.4000000000000001,0.05999999999999994
50,2023-04-26,4087.78,4055.98,4089.66,1,0.05999999999999994,-1.8499999999999999
51,2023-04-25,4126.43,4071.62,4126.43,0,-1.8499999999999999,0.73
52,2023-04-24,4132.06,4137.04,4142.41,0,0.73,1.69
53,2023-04-21,4132.14,4133.52,4138.02,1,1.69,-1.52
54,2023-04-20,4130.47,4129.79,4148.56,0,-1.52,-0.07000000000000006
55,2023-04-19,4139.33,4154.52,4162.56,0,-0.07000000000000006,1.91
56,2023-04-18,4164.25,4154.87,4169.47,1,1.91,0.32999999999999996
57,2023-04-17,4137.16,4151.31,4151.72,0,0.32999999999999996,0.15000000000000005
58,2023-04-14,4140.1,4137.64,4163.18,0,0.15000000000000005,1.3399999999999999
59,2023-04-13,4100.04,4146.22,4150.25,1,1.3399999999999999,-1.69
60,2023-04-12,4121.72,4091.94,4134.37,1,-1.69,0.29000000000000004
61,2023-04-11,4110.29,4108.93,4124.25,1,0.29000000000000004,1.87
62,2023-04-10,4085.19,4109.1,4109.5,0,1.87,-0.49999999999999994
63,2023-04-06,4081.14,4105.02,4107.31,0,-0.49999999999999994,-0.92
64,2023-04-05,4094.5,4090.37,4099.68,0,-0.92,-0.7300000000000001
